id;product_code;product_name;fund_category;inception_date;clearing_house;exchage;unit_creation;unit_price_initial;unit_price_curr;lot_per_basket;index_reff;rating;fee
1;mindshare ;Chips;navigating;2019-09-16;paradigms ;Optimized;9387;71459;18286;66019;motivating;55435;43567
2;system Gor;hack;leading-ed;2019-09-17;Small;JBOD;70365;17533;47417;1716;connect;80691;47347
3;Shoes syst;Generic Frozen Tuna HTTP;implement;2019-09-16;Borders EX;Checking A;94389;64241;94425;2651;New York D;38816;57336
4;Granite ha;Web revolutionize Branding;teal analy;2019-09-16;Ergonomic ;Handcrafte;2327;34062;81446;26069;Avon;69289;69673
5;Personal L;schemas Specialist China;quantify m;2019-09-16;infrastruc;JSON Texas;23859;42899;67984;75087;compress F;50525;49656
6;monetize s;Industrial;bypassing ;2019-09-16;Borders Bo;methodical;32866;55370;67251;21272;Data neura;93092;49442
7;Tasty Rubb;bandwidth Liaison;program Au;2019-09-17;Algerian D;Steel Avon;58130;37427;86313;37064;open-sourc;75337;35021
8;bandwidth ;Oklahoma communities;array supp;2019-09-16;Arizona ha;Fresh paym;58336;23750;96217;40022;Glen Refin;52837;22359
9;Assistant ;Arizona success Sleek Frozen Chips;Gorgeous R;2019-09-16;Dalasi;Orchestrat;38420;90115;73710;4544;web-enable;45565;10675
10;B2B Mouse;Junctions one-to-one;analyzing ;2019-09-17;Ridges Bea;multi-byte;16261;13318;91092;7620;Usability ;91917;41824
