id;prm_id;prm_name;prm_type;app_type;int_val;float_val;str_val;date_val;show;edit
1;mobile Fish;Home Loan Account Table Computer;T;Savings Account alarm;2058;5641;transmitter Implementation Electronics;2019-09-15;false;true
2;Home Loan Account;web-readiness;N;Steel zero administration;36636;23277;Licensed Savings Account;2019-09-15;true;true
3;Canyon HDD;Table Small Frozen Sausages Planner;e;infomediaries;12203;60999;backing up Salad;2019-09-15;false;false
4;copy convergence;Mayotte;I;connect Markets Chief;59789;72727;archive Georgia Aruba;2019-09-15;false;true
5;compress South Georg;compelling mission-critical;b;Small;98688;42340;reinvent 24 hour Jewelery;2019-09-16;true;true
6;1080p Checking Accou;Frozen IB;H;moratorium moratorium;72960;59129;tangible Mississippi;2019-09-15;false;true
7;synthesizing hard dr;Avon;s;Intelligent Outdoors;63641;47537;Montana;2019-09-15;true;false
8;Investment Account;override User-centric;M;Salad Web virtual;63340;10549;Squares mint green e-business;2019-09-15;true;false
9;Fresh granular Direc;Profit-focused;J;Games;51074;53408;Bedfordshire Bahamian Dollar;2019-09-16;false;false
10;Gloves sky blue Okla;robust Engineer;E;zero tolerance;3688;26678;Analyst paradigms;2019-09-16;false;false
