id;redemption_code;redemption_date;customer_id;customer_name;unit_sell_price_ind;unit_sell_price;unit_sell_unit;unit_sell_lot;unit_sell_basket;market;sell_gross_amount;fee;sell_net_amount;status_cash;status_etf;status;channel
1;Clothing;2019-09-16;Security Virginia;solid state Clothing deposit;77124;57628;37443;60671;6892;Handmade Unbranded;84043;92556;91068;Wooden Visionary;hacking;programming;33214
2;instruction set Pers;2019-09-16;navigate;neural;463;60372;33349;11426;39816;Switzerland Chief;34634;46570;34695;capacitor Path;Grocery;Concrete Towels Avon;41892
3;Product;2019-09-16;Indiana deposit Elec;Bedfordshire Strategist;45898;14866;55730;41462;86063;Zimbabwe;18446;50219;29959;application scale;indigo National;Expressway;62497
4;grow;2019-09-16;Arkansas reciprocal;Mountain Malaysia supply-chains;40076;49701;55964;76535;15524;Pants;86178;7550;94611;morph tertiary payment;auxiliary Liaison;bus withdrawal Toys;22197
5;Distributed;2019-09-16;Kids Incredible;Florida THX Idaho;72081;9944;80531;24317;98872;Auto Loan Account neural Markets;94440;66808;14108;empower;Senior;deposit;73590
6;backing up;2019-09-17;COM;infomediaries Chief;81744;62476;34181;33586;25942;facilitate Alaska solution-oriented;62414;34519;40941;Guinea applications context-sensitive;Consultant back-end Fresh;Cambridgeshire Central;79985
7;supply-chains;2019-09-17;optimal Peru;incentivize purple;64505;83493;42170;98440;13227;Corporate Lari;68318;1839;82258;Bouvet Island (Bouvetoya) generating Bedfordshire;India;Buckinghamshire microchip;10657
8;Wooden;2019-09-16;system-worthy pixel ;withdrawal Towels;91441;83810;41877;40438;38313;Ireland Fantastic Wooden Chips microchip;8279;9033;60315;Business-focused generate grid-enabled;International card;West Virginia Keys;66367
9;Research sensor blac;2019-09-17;clear-thinking Auto ;indexing;95523;59684;15467;33424;62333;Course robust bricks-and-clicks;41279;49549;70492;Investment Account Forge Licensed;auxiliary;Engineer Toys Fantastic;31459
10;solid state;2019-09-16;mobile;Mount Computer Uzbekistan;87294;75839;73222;63894;80656;payment Philippine Peso parsing;24966;90336;48942;magenta Associate;Argentine Peso Handcrafted Rubber Sausages Officer;Mississippi Product;3394
